ts	phase	decision	why	evidence	result
2026-08-21T13:33:08-05:00	wave2	U03 merged: 33 classes -> INTERPRETERS table (18 fns) + RESOLVERS; -725 lines; reachability identical; 3 goldens identical	diff reconciled; U05 changes intact post-merge	18a3ca39	merged. Asides for U08: stale class names in scripts/behavior_frontier.py:621-658 comments, receipt_walk_schedule.py:54,1691 (emitted string -> --write), expected-golden-diff-campaign-close-*.json prose; flake test_behavior_frontier::test_a_moved_container_exclusion_fails_the_gate scans live src
2026-08-21T14:07:59-05:00	wave2	U06 merged; pair golden re-captured: 12 diffs, all cc_reviewed flags/repr, numeric_leaves unchanged 44820	reviewed-slot gain is not a behavior change; real finding count was 42 stampers not 6, 5 undeclared not 3; CC_PER_PART sentinel chosen over per-part dict	21399bd6	merged. Asides: with_control_event(kind=) is a second CC statement (ControlEvent); test_vladimir grep-surface pin is a D6 delete; Annie/Kennen/Aatrox still empty (Energized-first-cast shape)
2026-08-21T14:12:31-05:00	wave2	U02 merged: one compiler; PairView receipt projection is a view arm of add_engine_result (S1 projection-over-actions rejected: compiler raises on shapes the receipt walk stages); C1-C4/W1/B1 all latent, N1 control rows compiled PLAIN_DAMAGE on panel path fixed (0 of 36802 leaves moved); -191 src lines; optimizer bench neutral-to-better	diff reconciled; 3 goldens identical post-merge	9bc9e24a	merged. Asides for close: program/compile.py is the only CRLF blob (.gitattributes or normalize in own commit); add a CC-carrying COUPLED_SCENARIO (declared golden capture); stale _pair_packet prose in identity.py:16 actions.py:854 survival/compile.py:275 (U08); p4_s10:192,210 + program_deletion_frontier:149 AST pins now pin less (U07 follow-up)
2026-08-21T14:13:16-05:00	wave2	program/compile.py normalized to LF in its own commit; U07 told U02 exclusions lifted	U02 aside 2	9c9464c7	done
2026-08-21T14:59:52-05:00	wave3	U09 merged: -560 src -227 scripts; 9 test-only rows cut with covering surface named; slice-B rows (57 lines: pt.py:2413, transitions.py:2496, build.py:249/509, views/__init__.py:523, walk.py:449, outcome_state.py:176/425) deferred to close	diff reconciled 53 files +120/-1066; 3 goldens identical	3a8aa7ba	merged
2026-08-21T15:32:13-05:00	wave3	U07 merged: -269 shape tests, 200/360 receipts gone, pytest -n auto 193->~135 s, test_gate_receipt 39->1 s, rename probe clean x2; expected-golden-diff-surface-area-A2 receipt was WRONG (3933.8 vs baseline 3921.0) and hidden by precedence; W2S4 closed (new per-block reproducibility test)	diff reconciled 244 files +602/-30916; 3 goldens + plan_audit clean post-merge	5dd703fb	merged. Left intact by ruling: phase0_sentinels count pins, program_caches AST lint, data_version_memos census, oracle-C6 (139 files, real behavior test)
2026-08-21T15:45:02-05:00	wave2	U04 merged: damage.py A 134->0 (ABILITY_PAYLOAD_SCHEMA in ability_atoms), B 19->0 (OPTIONS spec), C 155->2; lint tests/test_literal_defaults.py; 101 partial test fixtures completed by codemod; bench within 1.5%	conflict tests/test_term_census.py: U07 deletion stands; 3 goldens identical, 14161 passed, black+plan_audit clean post-merge	9cf71964	merged. Deferred to close: item_effects.item_name() public accessor retiring 8 sites + _item_names; Guardian Horn coupled scenario retires 2 census getattrs; ability_atoms.py 8 raw-wiki traversals; scanner is 173 lines
2026-08-21T15:49:15-05:00	wave4	control_event_roster added; coupled + exact baselines captured (additive only); fingerprints + plan_audit allowlist retargeted 21/25 -> 22/26	U02 aside 3: the surface N1 broke had no golden cell	b4140869	plan_audit 16 clean; 204 reader tests pass. TRAP for ledger: plan_audit golden-figures check collides on digit coincidences; every capture churns its allowlist
2026-08-21T16:04:47-05:00	wave3	U08 merged: prose_lint (a)451->0 (b)3->0 (c-history)393->0; src -3386 scripts -301; AST-equivalence over 169 files; plan locator conflict resolved by --refresh-drift; docstring-membership pin in test_trigger_stream deleted (D6)	diff reconciled; 3 goldens identical; plan_audit 16 clean	298ca9da	merged. Note: rule (b) does not police # blocks above def; evidence moved there deliberately
2026-08-21T16:17:35-05:00	wave4	coverage_census check green at 298ca9da (frontier 100, residue 25); traps + backlog ER1-ER7 committed e4bb8205	gate 5 inputs untouched since U06	/c/Users/skywa/AppData/Local/Temp/claude/C--Users-skywa-Desktop-claude-code-merged-calculator/85529a23-c569-4b08-b009-dfcc47dd7374/scratchpad/census-298ca9da.log	pass
2026-08-21T16:18:46-05:00	wave4	U10 merged: bench 8.43/32.39/32.85 -> ~7.5/29.1/26.8 ms; optimizer -4..-20% with identical builds/scores/evals; 4.9 ms pre-PR figure needs a views design change (recorded in benchmarks.md)	conflict data_fetcher.get_item_by_name: U08 docstring + U10 body; 3 goldens identical	c8507a14	merged
2026-08-21T16:37:30-05:00	close	U11 merged 4813a19d; gate ladder fresh: pytest 14163, black 894, pylint 9.64, 3 goldens identical, census 100/25 exit 0, plan_audit 16 clean, bench --compare exit 0 (7.52/29.18/26.75), prose 0/0/0, literal 92 allowlisted; results written c9f8f3ee	plan gate ladder run once at close	docs/plans/2026-08-21-engine-retirement-campaign.md Results	awaiting blind audit
2026-08-21T17:02:21-05:00	close	blind audit: changes requested (C1 Jayce R marker, C2 N1 receipt, I1-I7). Remediated 7ca6b137 + 52832e7e: Jayce R CC_PER_PART; probe_control_parity 66662 leaves 0 moved main vs close (receipt docs/receipts/control-parity-7bb9701e.json); max_procs None=uncapped; 4 evidence comments restored; term_census.py deleted; getattr conversion REVERTED (golden_snapshot swing-term gate, not census, demands Guardian Horn scenario; ER4 re-pointed); D7 amended: pointers reported not gated; allowlist 98 restated as 107 sites	ladder re-run: 14163 pass, goldens identical, pylint 9.64, bench exit 0, prose 0/0/0, plan 16 clean	52832e7e	closed
2026-08-21T17:12:45-05:00	close	PR #204 opened from engine-retirement e3f9a69d; full suite green on a -rf rerun (one prior red was the order-dependent test_behavior_frontier case)	campaign complete	https://github.com/koimari/league-combat-calculator/pull/204	open
